2019-10-26 17:15:29,083 [Worker-1: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-10-26 17:16:07,909 [Worker-12: Creating project "TeamDestroyah"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: TeamDestroyah:TeamDestroyah:0.0.1-SNAPSHOT @ C:\Users\hello\Desktop\git_repo\Project2\TeamDestroyah\pom.xml.
2019-10-26 17:16:09,046 [Worker-12: Creating project "TeamDestroyah"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /TeamDestroyah/src/main/java
2019-10-26 17:16:09,050 [Worker-12: Creating project "TeamDestroyah"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /TeamDestroyah/src/main/resources
2019-10-26 17:16:09,055 [Worker-12: Creating project "TeamDestroyah"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /TeamDestroyah/src/test/java
2019-10-26 17:16:09,056 [Worker-12: Creating project "TeamDestroyah"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /TeamDestroyah/src/test/resources
2019-10-26 17:16:13,312 [Worker-13: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-26 17:16:13,345 [Worker-13: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-10-26 17:16:13,352 [Worker-13: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-10-26 17:16:13,384 [Worker-13: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-10-26 17:24:30,537 [Worker-19: Building workspace] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: TeamDestroyah:TeamDestroyah:0.0.1-SNAPSHOT @ C:\Users\hello\Desktop\git_repo\Project2\TeamDestroyah\pom.xml.
2019-10-26 17:24:30,964 [Worker-19: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
